mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-products-18,products,package_type,JSON,$.productCatalog[*].packageType,,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-19,products,recyclable_packaging,JSON,$.productCatalog[*].recyclablePackaging,,Keep native JSON boolean or map XML Y/N to True/False.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-20,products,active_flag,JSON,$.productCatalog[*].activeFlag,,Keep native JSON boolean or map XML Y/N to True/False.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-products-21,products,product_description_clean,derived,$.productCatalog[*].productDescription,,Apply the published narrative-cleaning order to productDescription; return literal 'NaN' when no readable text remains.,Check duplicate primary keys within the source; retain one identical canonical value and record any different non-missing duplicate value as a conflict.,Sections 1.1 and 2.1 (products)
MAP-product_reviews-01,product_reviews,review_id,both,$.productReviews[*].reviewID,/OperationsExport/ProductReviews/Review/Review_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-02,product_reviews,order_id,both,$.productReviews[*].orderID,/OperationsExport/ProductReviews/Review/Order_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-03,product_reviews,order_item_id,both,$.productReviews[*].orderItemID,/OperationsExport/ProductReviews/Review/Order_Item_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-04,product_reviews,product_id,both,$.productReviews[*].productID,/OperationsExport/ProductReviews/Review/Product_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-05,product_reviews,customer_id,both,$.productReviews[*].customerID,/OperationsExport/ProductReviews/Review/Customer_ID,"Trim surrounding whitespace, preserve leading zeros and case, and do not invent a new identity.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-06,product_reviews,review_timestamp,both,$.productReviews[*].reviewTimestamp,/OperationsExport/ProductReviews/Review/Review_Timestamp,Parse the source-specific timestamp format and output YYYY-MM-DD HH:MM:SS.,Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-07,product_reviews,language_code,both,$.productReviews[*].languageCode,/OperationsExport/ProductReviews/Review/Language_Code,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-08,product_reviews,rating,both,$.productReviews[*].rating,/OperationsExport/ProductReviews/Review/Rating,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-09,product_reviews,review_title,both,$.productReviews[*].reviewTitle,/OperationsExport/ProductReviews/Review/Review_Title,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-10,product_reviews,review_body_clean,derived,$.productReviews[*].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,"Extract references first, then decode HTML entities, apply NFC, remove tags/markers/URLs/emoji/wrappers/promo, collapse whitespace, trim and lowercase; preserve multilingual letters; otherwise literal 'NaN'.",Reconcile the raw parent record by primary key first; derive once from the canonical raw value; record any different non-missing overlapping raw values as a conflict.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-11,product_reviews,review_body_latin_analysis,derived,$.productReviews[*].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,Build from review_body_clean; retain Latin letters including European diacritics plus applicable digits/punctuation; remove non-Latin letters and emoji; return literal 'NaN' if no Latin letter remains.,Reconcile the raw parent record by primary key first; derive once from the canonical raw value; record any different non-missing overlapping raw values as a conflict.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-12,product_reviews,verified_purchase,both,$.productReviews[*].verifiedPurchase,/OperationsExport/ProductReviews/Review/Verified_Purchase,Keep native JSON boolean or map XML Y/N to True/False.,Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-13,product_reviews,helpful_votes,both,$.productReviews[*].helpfulVotes,/OperationsExport/ProductReviews/Review/Helpful_Votes,Convert to numeric after removing any published formatting; preserve the target precision and comparison rule.,Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-14,product_reviews,review_length_chars,derived,$.productReviews[*].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,Count Python characters in review_body_clean; follow the published sentinel behaviour when review_body_clean is literal 'NaN'.,Reconcile the raw parent record by primary key first; derive once from the canonical raw value; record any different non-missing overlapping raw values as a conflict.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-15,product_reviews,review_word_count,derived,$.productReviews[*].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,Count whitespace-separated tokens in review_body_clean; follow the published sentinel behaviour when review_body_clean is literal 'NaN'.,Reconcile the raw parent record by primary key first; derive once from the canonical raw value; record any different non-missing overlapping raw values as a conflict.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-16,product_reviews,contains_non_latin_script,derived,$.productReviews[*].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,Return a Python bool showing whether review_body_clean contains any letter outside the Latin script; do not treat every non-ASCII character as non-Latin.,Reconcile the raw parent record by primary key first; derive once from the canonical raw value; record any different non-missing overlapping raw values as a conflict.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-17,product_reviews,extracted_order_reference,derived,$.productReviews[*].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,Extract boundary-valid HORD or CORD followed by exactly six digits from raw review text before cleaning; uppercase; otherwise literal 'NaN'.,Reconcile the raw parent record by primary key first; derive once from the canonical raw value; record any different non-missing overlapping raw values as a conflict.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-18,product_reviews,extracted_product_sku,derived,$.productReviews[*].reviewText,/OperationsExport/ProductReviews/Review/Review_Text,Extract boundary-valid SKU- followed by one or more ASCII letters/digits from raw review text before cleaning; uppercase; otherwise literal 'NaN'.,Reconcile the raw parent record by primary key first; derive once from the canonical raw value; record any different non-missing overlapping raw values as a conflict.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-19,product_reviews,delivery_experience,both,$.productReviews[*].deliveryExperience,/OperationsExport/ProductReviews/Review/Delivery_Experience,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-20,product_reviews,value_experience,both,$.productReviews[*].valueExperience,/OperationsExport/ProductReviews/Review/Value_Experience,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
MAP-product_reviews-21,product_reviews,writing_style,both,$.productReviews[*].writingStyle,/OperationsExport/ProductReviews/Review/Writing_Style,"Trim surrounding whitespace and preserve the published spelling, case and Unicode content unless a field-specific rule requires otherwise.",Match by the table primary key after normalisation; retain one value when equal or one is missing; record different non-missing values as a conflict with no source precedence.,Sections 1.7-1.9 and 2.1 (product_reviews)
